"Year","Jurisdiction","Category","Type","Classification","Stream","Management","Fate","Tonnes","Sub-stream"
"2018-2019","ACT","Hazardous","Other miscellaneous","Type","Total","Treatment","Unknown",1,"08 Total"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","C&I","Landfill","Disposal",21,"03 C&I core"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","C&I","Recycling","Recycling",11,"03 C&I core"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","C&I","Treatment","Unknown",15,"03 C&I core"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","Total","Landfill","Disposal",21,"08 Total"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","Total","Recycling","Recycling",11,"08 Total"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","Total","Treatment","Unknown",15,"08 Total"
"2018-2019","ACT","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Landfill","Disposal",11,"03 C&I core"
"2018-2019","ACT","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Recycling","Recycling",2,"03 C&I core"
"2018-2019","ACT","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Treatment","Unknown",1,"03 C&I core"
"2018-2019","ACT","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Landfill","Disposal",11,"08 Total"
"2018-2019","ACT","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Recycling","Recycling",2,"08 Total"
"2018-2019","ACT","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Treatment","Unknown",1,"08 Total"
"2018-2019","ACT","Hazardous","Tyres","Type","C&I","Energy from waste facility","Energy recovery",3781,"03 C&I core"
"2018-2019","ACT","Hazardous","Tyres","Type","C&I","Landfill","Disposal",1960,"03 C&I core"
"2018-2019","ACT","Hazardous","Tyres","Type","C&I","Other disposal","Disposal",140,"03 C&I core"
"2018-2019","ACT","Hazardous","Tyres","Type","C&I","Recycling","Recycling",1680,"03 C&I core"
"2018-2019","ACT","Hazardous","Tyres","Type","Total","Energy from waste facility","Energy recovery",3781,"08 Total"
"2018-2019","ACT","Hazardous","Tyres","Type","Total","Landfill","Disposal",1960,"08 Total"
"2018-2019","ACT","Hazardous","Tyres","Type","Total","Other disposal","Disposal",140,"08 Total"
"2018-2019","ACT","Hazardous","Tyres","Type","Total","Recycling","Recycling",1680,"08 Total"
"2018-2019","ACT","Masonry materials","Asphalt","Type","Total","Recycling","Recycling",12009,"08 Total"
"2018-2019","ACT","Masonry materials","Bricks","Type","Total","Recycling","Recycling",25098,"08 Total"
"2018-2019","ACT","Masonry materials","Concrete","Type","C&D","Landfill","Disposal",422,"02 C&D"
"2018-2019","ACT","Masonry materials","Concrete","Type","C&I","Landfill","Disposal",755,"03 C&I core"
"2018-2019","ACT","Masonry materials","Concrete","Type","Total","Landfill","Disposal",1177,"08 Total"
"2018-2019","ACT","Masonry materials","Concrete","Type","Total","Recycling","Recycling",115469,"08 Total"
"2018-2019","ACT","Masonry materials","Plasterboard & cement sheeting","Type","C&D","Landfill","Disposal",7323,"02 C&D"
"2018-2019","ACT","Masonry materials","Plasterboard & cement sheeting","Type","C&I","Landfill","Disposal",9861,"03 C&I core"
"2018-2019","ACT","Masonry materials","Plasterboard & cement sheeting","Type","Total","Landfill","Disposal",17185,"08 Total"
"2018-2019","ACT","Metals","Aluminium","Type","MSW","Landfill","Disposal",734,"01 MSW"
"2018-2019","ACT","Metals","Aluminium","Type","Total","Landfill","Disposal",734,"08 Total"
"2018-2019","ACT","Metals","Aluminium","Type","Total","Recycling","Recycling",1187,"08 Total"
"2018-2019","ACT","Metals","Steel","Type","Total","Recycling","Recycling",30834,"08 Total"
"2018-2019","ACT","Organics","Food organics","Type","C&I","Landfill","Disposal",9335,"03 C&I core"
"2018-2019","ACT","Organics","Food organics","Type","C&I","Landfill","Energy recovery",7100,"03 C&I core"
"2018-2019","ACT","Organics","Food organics","Type","MSW","Landfill","Disposal",20402,"01 MSW"
"2018-2019","ACT","Organics","Food organics","Type","MSW","Landfill","Energy recovery",15518,"01 MSW"
"2018-2019","ACT","Organics","Food organics","Type","Total","Landfill","Disposal",29737,"08 Total"
"2018-2019","ACT","Organics","Food organics","Type","Total","Landfill","Energy recovery",22618,"08 Total"
"2018-2019","ACT","Organics","Garden organics","Type","C&D","Landfill","Disposal",124,"02 C&D"
"2018-2019","ACT","Organics","Garden organics","Type","C&D","Landfill","Energy recovery",40,"02 C&D"
"2018-2019","ACT","Organics","Garden organics","Type","C&I","Landfill","Disposal",1780,"03 C&I core"
"2018-2019","ACT","Organics","Garden organics","Type","C&I","Landfill","Energy recovery",568,"03 C&I core"
"2018-2019","ACT","Organics","Garden organics","Type","MSW","Landfill","Disposal",7740,"01 MSW"
"2018-2019","ACT","Organics","Garden organics","Type","MSW","Landfill","Energy recovery",2467,"01 MSW"
"2018-2019","ACT","Organics","Garden organics","Type","Total","Landfill","Disposal",9645,"08 Total"
"2018-2019","ACT","Organics","Garden organics","Type","Total","Landfill","Energy recovery",3075,"08 Total"
"2018-2019","ACT","Organics","Garden organics","Type","Total","Recycling","Recycling",299548,"08 Total"
"2018-2019","ACT","Organics","Other organics","Type","C&I","Landfill","Disposal",472,"03 C&I core"
"2018-2019","ACT","Organics","Other organics","Type","C&I","Landfill","Energy recovery",163,"03 C&I core"
"2018-2019","ACT","Organics","Other organics","Type","MSW","Landfill","Disposal",5246,"01 MSW"
"2018-2019","ACT","Organics","Other organics","Type","MSW","Landfill","Energy recovery",1816,"01 MSW"
"2018-2019","ACT","Organics","Other organics","Type","Total","Landfill","Disposal",5718,"08 Total"
"2018-2019","ACT","Organics","Other organics","Type","Total","Landfill","Energy recovery",1979,"08 Total"
"2018-2019","ACT","Organics","Timber","Type","C&D","Landfill","Disposal",10795,"02 C&D"
"2018-2019","ACT","Organics","Timber","Type","C&D","Landfill","Energy recovery",585,"02 C&D"
"2018-2019","ACT","Organics","Timber","Type","C&I","Landfill","Disposal",13695,"03 C&I core"
"2018-2019","ACT","Organics","Timber","Type","C&I","Landfill","Energy recovery",743,"03 C&I core"
"2018-2019","ACT","Organics","Timber","Type","MSW","Landfill","Disposal",4286,"01 MSW"
"2018-2019","ACT","Organics","Timber","Type","MSW","Landfill","Energy recovery",232,"01 MSW"
"2018-2019","ACT","Organics","Timber","Type","Total","Landfill","Disposal",28776,"08 Total"
"2018-2019","ACT","Organics","Timber","Type","Total","Landfill","Energy recovery",1560,"08 Total"
"2018-2019","ACT","Organics","Timber","Type","Total","Recycling","Recycling",11533,"08 Total"
"2018-2019","ACT","Other","Other unclassified materials","Type","Total","Recycling","Recycling",259806,"08 Total"
"2018-2019","ACT","Paper & cardboard","Liquid paperboard","Type","Total","Recycling","Recycling",27969,"08 Total"
"2018-2019","Australia","Agriculture & fisheries","Bagasse (available)","Type","C&I","Unknown","Unknown",10722735,"05 C&I (agriculture & fisheries)"
"2018-2019","Australia","Agriculture & fisheries","Bagasse (available)","Type","Total","Unknown","Unknown",10722735,"08 Total"
"2018-2019","Australia","Agriculture & fisheries","Cotton gin trash","Type","C&I","Unknown","Unknown",52675,"05 C&I (agriculture & fisheries)"
"2018-2019","Australia","Agriculture & fisheries","Cotton gin trash","Type","Total","Unknown","Unknown",52675,"08 Total"
"2018-2019","Australia","Agriculture & fisheries","Fisheries organics","Type","C&I","Unknown","Unknown",124820,"05 C&I (agriculture & fisheries)"
"2018-2019","Australia","Agriculture & fisheries","Fisheries organics","Type","Total","Unknown","Unknown",124820,"08 Total"
"2018-2019","Australia","Agriculture & fisheries","Manure","Type","C&I","Unknown","Unknown",15066609,"05 C&I (agriculture & fisheries)"
"2018-2019","Australia","Agriculture & fisheries","Manure","Type","Total","Unknown","Unknown",15066609,"08 Total"
"2018-2019","Australia","Agriculture & fisheries","Mill mud","Type","C&I","Unknown","Unknown",2020000,"05 C&I (agriculture & fisheries)"
"2018-2019","Australia","Agriculture & fisheries","Mill mud","Type","Total","Unknown","Unknown",2020000,"08 Total"
"2018-2019","Australia","Mineral processing","CSG brines","Type","C&I","Other disposal","Disposal",2385750,"07 C&I (mineral processing)"
"2018-2019","Australia","Mineral processing","CSG brines","Type","Total","Other disposal","Disposal",2385750,"08 Total"
"2018-2019","Australia","Mineral processing","Red mud","Type","C&I","Other disposal","Long-term storage",25764086,"07 C&I (mineral processing)"
"2018-2019","Australia","Mineral processing","Red mud","Type","Total","Other disposal","Long-term storage",25764086,"08 Total"
"2018-2019","Australia","Mining","Coal Mining","Type","C&I","Landfill","Disposal",2878,"06 C&I (mining)"
"2018-2019","Australia","Mining","Coal Mining","Type","C&I","Other disposal","Disposal",32250076,"06 C&I (mining)"
"2018-2019","Australia","Mining","Coal Mining","Type","C&I","Recycling","Recycling",61,"06 C&I (mining)"
"2018-2019","Australia","Mining","Coal Mining","Type","C&I","Unknown","Unknown",392,"06 C&I (mining)"
"2018-2019","Australia","Mining","Copper Ore Mining","Type","C&I","Landfill","Disposal",18,"06 C&I (mining)"
"2018-2019","Australia","Mining","Copper Ore Mining","Type","C&I","Other disposal","Disposal",49116927,"06 C&I (mining)"
"2018-2019","Australia","Mining","Gold Ore Mining","Type","C&I","Landfill","Disposal",125,"06 C&I (mining)"
"2018-2019","Australia","Mining","Gold Ore Mining","Type","C&I","Other disposal","Disposal",188738348,"06 C&I (mining)"
"2018-2019","Australia","Mining","Gold Ore Mining","Type","C&I","Recycling","Recycling",1,"06 C&I (mining)"
"2018-2019","Australia","Mining","Iron Ore Mining","Type","C&I","Landfill","Disposal",344,"06 C&I (mining)"
"2018-2019","Australia","Mining","Iron Ore Mining","Type","C&I","Other disposal","Disposal",89542381,"06 C&I (mining)"
"2018-2019","Australia","Mining","Iron Ore Mining","Type","C&I","Unknown","Unknown",1,"06 C&I (mining)"
"2018-2019","Australia","Mining","Mineral Sand Mining","Type","C&I","Landfill","Disposal",518,"06 C&I (mining)"
"2018-2019","Australia","Mining","Mineral Sand Mining","Type","C&I","Other disposal","Disposal",49499,"06 C&I (mining)"
"2018-2019","Australia","Mining","Mineral Sand Mining","Type","C&I","Unknown","Unknown",10942,"06 C&I (mining)"
"2018-2019","Australia","Mining","Nickel Ore Mining","Type","C&I","Landfill","Disposal",8,"06 C&I (mining)"
"2018-2019","Australia","Mining","Nickel Ore Mining","Type","C&I","Other disposal","Disposal",9638672,"06 C&I (mining)"
"2018-2019","Australia","Mining","Nickel Ore Mining","Type","C&I","Unknown","Unknown",903,"06 C&I (mining)"
"2018-2019","Australia","Mining","Oil and Gas Extraction","Type","C&I","Other disposal","Disposal",62075633,"06 C&I (mining)"
"2018-2019","Australia","Mining","Oil and Gas Extraction","Type","C&I","Recycling","Recycling",3579,"06 C&I (mining)"
"2018-2019","Australia","Mining","Oil and Gas Extraction","Type","C&I","Unknown","Unknown",418,"06 C&I (mining)"
"2018-2019","Australia","Mining","Other Metal Ore Mining","Type","C&I","Landfill","Disposal",10,"06 C&I (mining)"
"2018-2019","Australia","Mining","Other Metal Ore Mining","Type","C&I","Other disposal","Disposal",19501416,"06 C&I (mining)"
"2018-2019","Australia","Mining","Other Metal Ore Mining","Type","C&I","Unknown","Unknown",2,"06 C&I (mining)"
"2018-2019","Australia","Mining","Other Non-Metallic Mineral Mining and Quarrying","Type","C&I","Landfill","Disposal",18,"06 C&I (mining)"
"2018-2019","Australia","Mining","Other Non-Metallic Mineral Mining and Quarrying","Type","C&I","Other disposal","Disposal",4423182,"06 C&I (mining)"
"2018-2019","Australia","Mining","Silver-Lead-Zinc Ore Mining","Type","C&I","Landfill","Disposal",9,"06 C&I (mining)"
"2018-2019","Australia","Mining","Silver-Lead-Zinc Ore Mining","Type","C&I","Other disposal","Disposal",46816538,"06 C&I (mining)"
"2018-2019","Australia","Mining","Silver-Lead-Zinc Ore Mining","Type","C&I","Unknown","Unknown",6,"06 C&I (mining)"
"2018-2019","NSW","Ash","Ash","Type","C&I","Other disposal","Long-term storage",1617390,"04 C&I (electricity generation)"
"2018-2019","NSW","Ash","Ash","Type","C&I","Recycling","Recycling",4251341,"04 C&I (electricity generation)"
"2018-2019","NSW","Ash","Ash","Type","Total","Other disposal","Long-term storage",1617390,"08 Total"
"2018-2019","NSW","Ash","Ash","Type","Total","Recycling","Recycling",4251341,"08 Total"
