"Year","Jurisdiction","Category","Type","Classification","Stream","Management","Fate","Tonnes","Sub-stream"
"2018-2019","SA","Plastics","Other plastics","Type","Total","Recycling","Recycling",4124,"08 Total"
"2018-2019","SA","Plastics","Polyethylene terephthalate (PET)","Type","C&I","Recycling","Recycling",1967,"03 C&I core"
"2018-2019","SA","Plastics","Polyethylene terephthalate (PET)","Type","MSW","Recycling","Recycling",2950,"01 MSW"
"2018-2019","SA","Plastics","Polyethylene terephthalate (PET)","Type","Total","Recycling","Recycling",4917,"08 Total"
"2018-2019","SA","Plastics","Polypropylene (PP)","Type","C&I","Recycling","Recycling",421,"03 C&I core"
"2018-2019","SA","Plastics","Polypropylene (PP)","Type","MSW","Recycling","Recycling",227,"01 MSW"
"2018-2019","SA","Plastics","Polypropylene (PP)","Type","Total","Recycling","Recycling",648,"08 Total"
"2018-2019","SA","Plastics","Polystyrene (PS)","Type","C&D","Recycling","Recycling",93,"02 C&D"
"2018-2019","SA","Plastics","Polystyrene (PS)","Type","C&I","Recycling","Recycling",449,"03 C&I core"
"2018-2019","SA","Plastics","Polystyrene (PS)","Type","MSW","Recycling","Recycling",11,"01 MSW"
"2018-2019","SA","Plastics","Polystyrene (PS)","Type","Total","Recycling","Recycling",552,"08 Total"
"2018-2019","SA","Plastics","Polyvinyl chloride (PVC)","Type","C&I","Recycling","Recycling",72,"03 C&I core"
"2018-2019","SA","Plastics","Polyvinyl chloride (PVC)","Type","MSW","Recycling","Recycling",3,"01 MSW"
"2018-2019","SA","Plastics","Polyvinyl chloride (PVC)","Type","Total","Recycling","Recycling",75,"08 Total"
"2018-2019","SA","Textiles, leather & rubber (excl. tyres)","Leather & rubber (excl. tyres)","Type","C&I","Recycling","Recycling",18600,"03 C&I core"
"2018-2019","SA","Textiles, leather & rubber (excl. tyres)","Leather & rubber (excl. tyres)","Type","Total","Recycling","Recycling",18600,"08 Total"
"2018-2019","SA","Textiles, leather & rubber (excl. tyres)","Textiles","Type","MSW","Recycling","Recycling",2565,"01 MSW"
"2018-2019","SA","Textiles, leather & rubber (excl. tyres)","Textiles","Type","Total","Recycling","Recycling",2565,"08 Total"
"2018-2019","Tas","Biosolids","Biosolids","Type","C&I","Recycling","Recycling",34980,"03 C&I core"
"2018-2019","Tas","Biosolids","Biosolids","Type","Total","Recycling","Recycling",34980,"08 Total"
"2018-2019","Tas","Glass","Glass","Type","C&D","Landfill","Disposal",24,"02 C&D"
"2018-2019","Tas","Glass","Glass","Type","C&I","Landfill","Disposal",4765,"03 C&I core"
"2018-2019","Tas","Glass","Glass","Type","C&I","Recycling","Recycling",1001,"03 C&I core"
"2018-2019","Tas","Glass","Glass","Type","MSW","Landfill","Disposal",7565,"01 MSW"
"2018-2019","Tas","Glass","Glass","Type","MSW","Recycling","Recycling",12270,"01 MSW"
"2018-2019","Tas","Glass","Glass","Type","Total","Landfill","Disposal",12354,"08 Total"
"2018-2019","Tas","Glass","Glass","Type","Total","Recycling","Recycling",13272,"08 Total"
"2018-2019","Tas","Hazardous","Alkalis","Type","C&I","Recycling","Recycling",1,"03 C&I core"
"2018-2019","Tas","Hazardous","Alkalis","Type","Total","Recycling","Recycling",1,"08 Total"
"2018-2019","Tas","Hazardous","Asbestos","Type","C&D","Landfill","Disposal",1758,"02 C&D"
"2018-2019","Tas","Hazardous","Asbestos","Type","C&D","Other disposal","Disposal",1,"02 C&D"
"2018-2019","Tas","Hazardous","Asbestos","Type","C&D","Recycling","Recycling",1,"02 C&D"
"2018-2019","Tas","Hazardous","Asbestos","Type","C&D","Treatment","Unknown",1,"02 C&D"
"2018-2019","Tas","Hazardous","Asbestos","Type","C&I","Landfill","Disposal",1497,"03 C&I core"
"2018-2019","Tas","Hazardous","Asbestos","Type","C&I","Other disposal","Disposal",1,"03 C&I core"
"2018-2019","Tas","Hazardous","Asbestos","Type","C&I","Recycling","Recycling",1,"03 C&I core"
"2018-2019","Tas","Hazardous","Asbestos","Type","C&I","Treatment","Unknown",1,"03 C&I core"
"2018-2019","Tas","Hazardous","Asbestos","Type","Total","Landfill","Disposal",3255,"08 Total"
"2018-2019","Tas","Hazardous","Asbestos","Type","Total","Other disposal","Disposal",2,"08 Total"
"2018-2019","Tas","Hazardous","Asbestos","Type","Total","Recycling","Recycling",2,"08 Total"
"2018-2019","Tas","Hazardous","Asbestos","Type","Total","Treatment","Unknown",1,"08 Total"
"2018-2019","Tas","Hazardous","Clinical & pharmaceutical","Type","C&I","Landfill","Disposal",6,"03 C&I core"
"2018-2019","Tas","Hazardous","Clinical & pharmaceutical","Type","C&I","Other disposal","Disposal",36,"03 C&I core"
"2018-2019","Tas","Hazardous","Clinical & pharmaceutical","Type","C&I","Treatment","Unknown",18,"03 C&I core"
"2018-2019","Tas","Hazardous","Clinical & pharmaceutical","Type","Total","Landfill","Disposal",6,"08 Total"
"2018-2019","Tas","Hazardous","Clinical & pharmaceutical","Type","Total","Other disposal","Disposal",36,"08 Total"
"2018-2019","Tas","Hazardous","Clinical & pharmaceutical","Type","Total","Treatment","Unknown",18,"08 Total"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","C&D","Landfill","Disposal",23753,"02 C&D"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","C&D","Recycling","Recycling",589,"02 C&D"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","C&D","Treatment","Unknown",2186,"02 C&D"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","C&I","Landfill","Disposal",9237,"03 C&I core"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","C&I","Recycling","Recycling",229,"03 C&I core"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","C&I","Treatment","Unknown",850,"03 C&I core"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","Total","Landfill","Disposal",32991,"08 Total"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","Total","Recycling","Recycling",818,"08 Total"
"2018-2019","Tas","Hazardous","Contaminated soils","Type","Total","Treatment","Unknown",3037,"08 Total"
"2018-2019","Tas","Hazardous","Food-derived hazardous wastes","Type","C&I","Landfill","Disposal",137,"03 C&I core"
"2018-2019","Tas","Hazardous","Food-derived hazardous wastes","Type","C&I","Recycling","Recycling",5718,"03 C&I core"
"2018-2019","Tas","Hazardous","Food-derived hazardous wastes","Type","C&I","Treatment","Unknown",801,"03 C&I core"
"2018-2019","Tas","Hazardous","Food-derived hazardous wastes","Type","Total","Landfill","Disposal",137,"08 Total"
"2018-2019","Tas","Hazardous","Food-derived hazardous wastes","Type","Total","Recycling","Recycling",5718,"08 Total"
"2018-2019","Tas","Hazardous","Food-derived hazardous wastes","Type","Total","Treatment","Unknown",801,"08 Total"
"2018-2019","Tas","Hazardous","Inorganic chemicals","Type","C&I","Landfill","Disposal",53973,"03 C&I core"
"2018-2019","Tas","Hazardous","Inorganic chemicals","Type","C&I","Other disposal","Disposal",127,"03 C&I core"
"2018-2019","Tas","Hazardous","Inorganic chemicals","Type","C&I","Recycling","Recycling",193222,"03 C&I core"
"2018-2019","Tas","Hazardous","Inorganic chemicals","Type","C&I","Treatment","Unknown",135811,"03 C&I core"
"2018-2019","Tas","Hazardous","Inorganic chemicals","Type","Total","Landfill","Disposal",53973,"08 Total"
"2018-2019","Tas","Hazardous","Inorganic chemicals","Type","Total","Other disposal","Disposal",127,"08 Total"
"2018-2019","Tas","Hazardous","Inorganic chemicals","Type","Total","Recycling","Recycling",193222,"08 Total"
"2018-2019","Tas","Hazardous","Inorganic chemicals","Type","Total","Treatment","Unknown",135811,"08 Total"
"2018-2019","Tas","Hazardous","Oils","Type","C&I","Landfill","Disposal",11,"03 C&I core"
"2018-2019","Tas","Hazardous","Oils","Type","C&I","Recycling","Recycling",83,"03 C&I core"
"2018-2019","Tas","Hazardous","Oils","Type","C&I","Treatment","Unknown",92,"03 C&I core"
"2018-2019","Tas","Hazardous","Oils","Type","Total","Landfill","Disposal",11,"08 Total"
"2018-2019","Tas","Hazardous","Oils","Type","Total","Recycling","Recycling",83,"08 Total"
"2018-2019","Tas","Hazardous","Oils","Type","Total","Treatment","Unknown",92,"08 Total"
"2018-2019","Tas","Hazardous","Organic solvents","Type","C&I","Landfill","Disposal",29,"03 C&I core"
"2018-2019","Tas","Hazardous","Organic solvents","Type","C&I","Recycling","Recycling",47,"03 C&I core"
"2018-2019","Tas","Hazardous","Organic solvents","Type","C&I","Treatment","Unknown",68,"03 C&I core"
"2018-2019","Tas","Hazardous","Organic solvents","Type","Total","Landfill","Disposal",29,"08 Total"
"2018-2019","Tas","Hazardous","Organic solvents","Type","Total","Recycling","Recycling",47,"08 Total"
"2018-2019","Tas","Hazardous","Organic solvents","Type","Total","Treatment","Unknown",68,"08 Total"
"2018-2019","Tas","Hazardous","Other miscellaneous","Type","C&I","Landfill","Disposal",14,"03 C&I core"
"2018-2019","Tas","Hazardous","Other miscellaneous","Type","C&I","Recycling","Recycling",5,"03 C&I core"
"2018-2019","Tas","Hazardous","Other miscellaneous","Type","C&I","Treatment","Unknown",48,"03 C&I core"
"2018-2019","Tas","Hazardous","Other miscellaneous","Type","Total","Landfill","Disposal",14,"08 Total"
"2018-2019","Tas","Hazardous","Other miscellaneous","Type","Total","Recycling","Recycling",5,"08 Total"
"2018-2019","Tas","Hazardous","Other miscellaneous","Type","Total","Treatment","Unknown",48,"08 Total"
"2018-2019","Tas","Hazardous","Other soil/sludges","Type","C&I","Landfill","Disposal",673,"03 C&I core"
"2018-2019","Tas","Hazardous","Other soil/sludges","Type","C&I","Other disposal","Disposal",1,"03 C&I core"
"2018-2019","Tas","Hazardous","Other soil/sludges","Type","C&I","Recycling","Recycling",362,"03 C&I core"
"2018-2019","Tas","Hazardous","Other soil/sludges","Type","C&I","Treatment","Unknown",480,"03 C&I core"
"2018-2019","Tas","Hazardous","Other soil/sludges","Type","Total","Landfill","Disposal",673,"08 Total"
"2018-2019","Tas","Hazardous","Other soil/sludges","Type","Total","Other disposal","Disposal",1,"08 Total"
"2018-2019","Tas","Hazardous","Other soil/sludges","Type","Total","Recycling","Recycling",362,"08 Total"
"2018-2019","Tas","Hazardous","Other soil/sludges","Type","Total","Treatment","Unknown",480,"08 Total"
"2018-2019","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Landfill","Disposal",44,"03 C&I core"
"2018-2019","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Recycling","Recycling",7,"03 C&I core"
"2018-2019","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Treatment","Unknown",4,"03 C&I core"
"2018-2019","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Landfill","Disposal",44,"08 Total"
"2018-2019","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Recycling","Recycling",7,"08 Total"
"2018-2019","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Treatment","Unknown",4,"08 Total"
"2018-2019","Tas","Hazardous","Pesticides","Type","C&I","Landfill","Disposal",91,"03 C&I core"
"2018-2019","Tas","Hazardous","Pesticides","Type","C&I","Recycling","Recycling",48,"03 C&I core"
"2018-2019","Tas","Hazardous","Pesticides","Type","C&I","Treatment","Unknown",10,"03 C&I core"
"2018-2019","Tas","Hazardous","Pesticides","Type","Total","Landfill","Disposal",91,"08 Total"
"2018-2019","Tas","Hazardous","Pesticides","Type","Total","Recycling","Recycling",48,"08 Total"
"2018-2019","Tas","Hazardous","Pesticides","Type","Total","Treatment","Unknown",10,"08 Total"
"2018-2019","Tas","Hazardous","Reactive chemicals","Type","C&I","Treatment","Unknown",1,"03 C&I core"
"2018-2019","Tas","Hazardous","Reactive chemicals","Type","Total","Treatment","Unknown",1,"08 Total"
"2018-2019","Tas","Hazardous","Tyres","Type","C&I","Energy from waste facility","Energy recovery",3136,"03 C&I core"
"2018-2019","Tas","Hazardous","Tyres","Type","C&I","Landfill","Disposal",2439,"03 C&I core"
"2018-2019","Tas","Hazardous","Tyres","Type","C&I","Other disposal","Disposal",87,"03 C&I core"
"2018-2019","Tas","Hazardous","Tyres","Type","C&I","Recycling","Recycling",3832,"03 C&I core"
"2018-2019","Tas","Hazardous","Tyres","Type","Total","Energy from waste facility","Energy recovery",3136,"08 Total"
"2018-2019","Tas","Hazardous","Tyres","Type","Total","Landfill","Disposal",2439,"08 Total"
"2018-2019","Tas","Hazardous","Tyres","Type","Total","Other disposal","Disposal",87,"08 Total"
"2018-2019","Tas","Hazardous","Tyres","Type","Total","Recycling","Recycling",3832,"08 Total"
"2018-2019","Tas","Metals","Aluminium","Type","C&I","Recycling","Recycling",543,"03 C&I core"
"2018-2019","Tas","Metals","Aluminium","Type","MSW","Recycling","Recycling",468,"01 MSW"
"2018-2019","Tas","Metals","Aluminium","Type","Total","Recycling","Recycling",1011,"08 Total"
"2018-2019","Tas","Metals","Steel","Type","C&I","Recycling","Recycling",4839,"03 C&I core"
"2018-2019","Tas","Metals","Steel","Type","MSW","Recycling","Recycling",723,"01 MSW"
"2018-2019","Tas","Metals","Steel","Type","Total","Recycling","Recycling",5561,"08 Total"
"2018-2019","Tas","Organics","Food organics","Type","C&I","Landfill","Disposal",35085,"03 C&I core"
"2018-2019","Tas","Organics","Food organics","Type","C&I","Landfill","Energy recovery",12022,"03 C&I core"
"2018-2019","Tas","Organics","Food organics","Type","MSW","Landfill","Disposal",38853,"01 MSW"
"2018-2019","Tas","Organics","Food organics","Type","MSW","Landfill","Energy recovery",13314,"01 MSW"
"2018-2019","Tas","Organics","Food organics","Type","Total","Landfill","Disposal",73938,"08 Total"
"2018-2019","Tas","Organics","Food organics","Type","Total","Landfill","Energy recovery",25336,"08 Total"
"2018-2019","Tas","Organics","Garden organics","Type","C&D","Landfill","Disposal",609,"02 C&D"
"2018-2019","Tas","Organics","Garden organics","Type","C&D","Landfill","Energy recovery",102,"02 C&D"
"2018-2019","Tas","Organics","Garden organics","Type","C&I","Landfill","Disposal",7513,"03 C&I core"
"2018-2019","Tas","Organics","Garden organics","Type","C&I","Landfill","Energy recovery",1252,"03 C&I core"
"2018-2019","Tas","Organics","Garden organics","Type","MSW","Landfill","Disposal",21081,"01 MSW"
"2018-2019","Tas","Organics","Garden organics","Type","MSW","Landfill","Energy recovery",3512,"01 MSW"
"2018-2019","Tas","Organics","Garden organics","Type","Total","Landfill","Disposal",29203,"08 Total"
"2018-2019","Tas","Organics","Garden organics","Type","Total","Landfill","Energy recovery",4865,"08 Total"
"2018-2019","Tas","Organics","Other organics","Type","C&I","Landfill","Disposal",2787,"03 C&I core"
"2018-2019","Tas","Organics","Other organics","Type","C&I","Landfill","Energy recovery",499,"03 C&I core"
"2018-2019","Tas","Organics","Other organics","Type","MSW","Landfill","Disposal",5056,"01 MSW"
"2018-2019","Tas","Organics","Other organics","Type","MSW","Landfill","Energy recovery",906,"01 MSW"
"2018-2019","Tas","Organics","Other organics","Type","Total","Landfill","Disposal",7844,"08 Total"
"2018-2019","Tas","Organics","Other organics","Type","Total","Landfill","Energy recovery",1405,"08 Total"
"2018-2019","Tas","Organics","Timber","Type","C&D","Landfill","Disposal",2068,"02 C&D"
"2018-2019","Tas","Organics","Timber","Type","C&D","Landfill","Energy recovery",65,"02 C&D"
"2018-2019","Tas","Organics","Timber","Type","C&I","Landfill","Disposal",26556,"03 C&I core"
"2018-2019","Tas","Organics","Timber","Type","C&I","Landfill","Energy recovery",832,"03 C&I core"
"2018-2019","Tas","Organics","Timber","Type","MSW","Landfill","Disposal",1445,"01 MSW"
"2018-2019","Tas","Organics","Timber","Type","MSW","Landfill","Energy recovery",45,"01 MSW"
"2018-2019","Tas","Organics","Timber","Type","Total","Landfill","Disposal",30069,"08 Total"
"2018-2019","Tas","Organics","Timber","Type","Total","Landfill","Energy recovery",942,"08 Total"
"2018-2019","Tas","Paper & cardboard","Cardboard","Type","C&I","Recycling","Recycling",11065,"03 C&I core"
"2018-2019","Tas","Paper & cardboard","Cardboard","Type","Total","Recycling","Recycling",11065,"08 Total"
"2018-2019","Tas","Paper & cardboard","Liquid paperboard","Type","C&I","Recycling","Recycling",1701,"03 C&I core"
"2018-2019","Tas","Paper & cardboard","Liquid paperboard","Type","Total","Recycling","Recycling",1701,"08 Total"
"2018-2019","Tas","Paper & cardboard","Office paper","Type","C&I","Recycling","Recycling",4247,"03 C&I core"
"2018-2019","Tas","Paper & cardboard","Office paper","Type","Total","Recycling","Recycling",4247,"08 Total"
"2018-2019","Tas","Textiles, leather & rubber (excl. tyres)","Leather & rubber (excl. tyres)","Type","C&I","Recycling","Recycling",78,"03 C&I core"
"2018-2019","Tas","Textiles, leather & rubber (excl. tyres)","Leather & rubber (excl. tyres)","Type","Total","Recycling","Recycling",78,"08 Total"
"2018-2019","Tas","Textiles, leather & rubber (excl. tyres)","Textiles","Type","C&I","Recycling","Recycling",163,"03 C&I core"
"2018-2019","Tas","Textiles, leather & rubber (excl. tyres)","Textiles","Type","Total","Recycling","Recycling",163,"08 Total"
"2018-2019","Vic","Ash","Ash","Type","C&I","Other disposal","Long-term storage",861969,"04 C&I (electricity generation)"
"2018-2019","Vic","Ash","Ash","Type","Total","Other disposal","Long-term storage",861969,"08 Total"
"2018-2019","Vic","Biosolids","Biosolids","Type","C&I","Other disposal","Disposal",25617,"03 C&I core"
"2018-2019","Vic","Biosolids","Biosolids","Type","C&I","Recycling","Recycling",486717,"03 C&I core"
"2018-2019","Vic","Biosolids","Biosolids","Type","Total","Other disposal","Disposal",25617,"08 Total"
"2018-2019","Vic","Biosolids","Biosolids","Type","Total","Recycling","Recycling",486717,"08 Total"
"2018-2019","Vic","Glass","Glass","Type","C&D","Landfill","Disposal",2339,"02 C&D"
"2018-2019","Vic","Glass","Glass","Type","C&D","Recycling","Recycling",972,"02 C&D"
"2018-2019","Vic","Glass","Glass","Type","C&I","Landfill","Disposal",45231,"03 C&I core"
"2018-2019","Vic","Glass","Glass","Type","C&I","Recycling","Recycling",17385,"03 C&I core"
"2018-2019","Vic","Glass","Glass","Type","MSW","Landfill","Disposal",49389,"01 MSW"
"2018-2019","Vic","Glass","Glass","Type","MSW","Recycling","Recycling",176295,"01 MSW"
"2018-2019","Vic","Glass","Glass","Type","Total","Landfill","Disposal",96960,"08 Total"
"2018-2019","Vic","Glass","Glass","Type","Total","Recycling","Recycling",194652,"08 Total"
"2018-2019","Vic","Hazardous","Acids","Type","C&I","Recycling","Recycling",155,"03 C&I core"
"2018-2019","Vic","Hazardous","Acids","Type","C&I","Treatment","Unknown",25939,"03 C&I core"
"2018-2019","Vic","Hazardous","Acids","Type","Total","Recycling","Recycling",155,"08 Total"
"2018-2019","Vic","Hazardous","Acids","Type","Total","Treatment","Unknown",25939,"08 Total"
"2018-2019","Vic","Hazardous","Alkalis","Type","C&I","Landfill","Disposal",99,"03 C&I core"
"2018-2019","Vic","Hazardous","Alkalis","Type","C&I","Recycling","Recycling",240,"03 C&I core"
"2018-2019","Vic","Hazardous","Alkalis","Type","C&I","Treatment","Unknown",6720,"03 C&I core"
"2018-2019","Vic","Hazardous","Alkalis","Type","Total","Landfill","Disposal",99,"08 Total"
"2018-2019","Vic","Hazardous","Alkalis","Type","Total","Recycling","Recycling",240,"08 Total"
"2018-2019","Vic","Hazardous","Alkalis","Type","Total","Treatment","Unknown",6720,"08 Total"
"2018-2019","Vic","Hazardous","Asbestos","Type","C&D","Landfill","Disposal",55519,"02 C&D"
"2018-2019","Vic","Hazardous","Asbestos","Type","C&D","Recycling","Recycling",15,"02 C&D"
"2018-2019","Vic","Hazardous","Asbestos","Type","C&I","Landfill","Disposal",47294,"03 C&I core"
"2018-2019","Vic","Hazardous","Asbestos","Type","C&I","Recycling","Recycling",13,"03 C&I core"
"2018-2019","Vic","Hazardous","Asbestos","Type","Total","Landfill","Disposal",102814,"08 Total"
"2018-2019","Vic","Hazardous","Asbestos","Type","Total","Recycling","Recycling",28,"08 Total"
"2018-2019","Vic","Hazardous","Clinical & pharmaceutical","Type","C&I","Other disposal","Disposal",5631,"03 C&I core"
"2018-2019","Vic","Hazardous","Clinical & pharmaceutical","Type","C&I","Recycling","Recycling",117,"03 C&I core"
"2018-2019","Vic","Hazardous","Clinical & pharmaceutical","Type","C&I","Treatment","Unknown",11124,"03 C&I core"
"2018-2019","Vic","Hazardous","Clinical & pharmaceutical","Type","Total","Other disposal","Disposal",5631,"08 Total"
"2018-2019","Vic","Hazardous","Clinical & pharmaceutical","Type","Total","Recycling","Recycling",117,"08 Total"
"2018-2019","Vic","Hazardous","Clinical & pharmaceutical","Type","Total","Treatment","Unknown",11124,"08 Total"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","C&D","Landfill","Disposal",424996,"02 C&D"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","C&D","Recycling","Recycling",38986,"02 C&D"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","C&D","Treatment","Unknown",64787,"02 C&D"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","C&I","Landfill","Disposal",165276,"03 C&I core"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","C&I","Recycling","Recycling",15161,"03 C&I core"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","C&I","Treatment","Unknown",25195,"03 C&I core"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","Total","Landfill","Disposal",590272,"08 Total"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","Total","Recycling","Recycling",54147,"08 Total"
"2018-2019","Vic","Hazardous","Contaminated soils","Type","Total","Treatment","Unknown",89982,"08 Total"
"2018-2019","Vic","Hazardous","Food-derived hazardous wastes","Type","C&I","Landfill","Disposal",99,"03 C&I core"
"2018-2019","Vic","Hazardous","Food-derived hazardous wastes","Type","C&I","Other disposal","Disposal",1,"03 C&I core"
"2018-2019","Vic","Hazardous","Food-derived hazardous wastes","Type","C&I","Recycling","Recycling",105068,"03 C&I core"
"2018-2019","Vic","Hazardous","Food-derived hazardous wastes","Type","C&I","Treatment","Unknown",34265,"03 C&I core"
"2018-2019","Vic","Hazardous","Food-derived hazardous wastes","Type","Total","Landfill","Disposal",99,"08 Total"
"2018-2019","Vic","Hazardous","Food-derived hazardous wastes","Type","Total","Other disposal","Disposal",1,"08 Total"
"2018-2019","Vic","Hazardous","Food-derived hazardous wastes","Type","Total","Recycling","Recycling",105068,"08 Total"
"2018-2019","Vic","Hazardous","Food-derived hazardous wastes","Type","Total","Treatment","Unknown",34265,"08 Total"
"2018-2019","Vic","Hazardous","Inorganic chemicals","Type","C&I","Landfill","Disposal",3580,"03 C&I core"
"2018-2019","Vic","Hazardous","Inorganic chemicals","Type","C&I","Recycling","Recycling",69081,"03 C&I core"
"2018-2019","Vic","Hazardous","Inorganic chemicals","Type","C&I","Treatment","Unknown",9056,"03 C&I core"
"2018-2019","Vic","Hazardous","Inorganic chemicals","Type","Total","Landfill","Disposal",3580,"08 Total"
"2018-2019","Vic","Hazardous","Inorganic chemicals","Type","Total","Recycling","Recycling",69081,"08 Total"
"2018-2019","Vic","Hazardous","Inorganic chemicals","Type","Total","Treatment","Unknown",9056,"08 Total"
"2018-2019","Vic","Hazardous","Oils","Type","C&I","Landfill","Disposal",4,"03 C&I core"
"2018-2019","Vic","Hazardous","Oils","Type","C&I","Other disposal","Disposal",28,"03 C&I core"
"2018-2019","Vic","Hazardous","Oils","Type","C&I","Recycling","Recycling",47190,"03 C&I core"
"2018-2019","Vic","Hazardous","Oils","Type","C&I","Treatment","Unknown",53192,"03 C&I core"
"2018-2019","Vic","Hazardous","Oils","Type","Total","Landfill","Disposal",4,"08 Total"
"2018-2019","Vic","Hazardous","Oils","Type","Total","Other disposal","Disposal",28,"08 Total"
"2018-2019","Vic","Hazardous","Oils","Type","Total","Recycling","Recycling",47190,"08 Total"
"2018-2019","Vic","Hazardous","Oils","Type","Total","Treatment","Unknown",53192,"08 Total"
"2018-2019","Vic","Hazardous","Organic chemicals","Type","C&I","Landfill","Disposal",2565,"03 C&I core"
"2018-2019","Vic","Hazardous","Organic chemicals","Type","C&I","Other disposal","Disposal",6,"03 C&I core"
"2018-2019","Vic","Hazardous","Organic chemicals","Type","C&I","Recycling","Recycling",496,"03 C&I core"
"2018-2019","Vic","Hazardous","Organic chemicals","Type","C&I","Treatment","Unknown",3955,"03 C&I core"
"2018-2019","Vic","Hazardous","Organic chemicals","Type","Total","Landfill","Disposal",2565,"08 Total"
"2018-2019","Vic","Hazardous","Organic chemicals","Type","Total","Other disposal","Disposal",6,"08 Total"
"2018-2019","Vic","Hazardous","Organic chemicals","Type","Total","Recycling","Recycling",496,"08 Total"
"2018-2019","Vic","Hazardous","Organic chemicals","Type","Total","Treatment","Unknown",3955,"08 Total"
"2018-2019","Vic","Hazardous","Organic solvents","Type","C&I","Other disposal","Disposal",1,"03 C&I core"
"2018-2019","Vic","Hazardous","Organic solvents","Type","C&I","Recycling","Recycling",4595,"03 C&I core"
"2018-2019","Vic","Hazardous","Organic solvents","Type","C&I","Treatment","Unknown",2630,"03 C&I core"
"2018-2019","Vic","Hazardous","Organic solvents","Type","Total","Other disposal","Disposal",1,"08 Total"
"2018-2019","Vic","Hazardous","Organic solvents","Type","Total","Recycling","Recycling",4595,"08 Total"
"2018-2019","Vic","Hazardous","Organic solvents","Type","Total","Treatment","Unknown",2630,"08 Total"
"2018-2019","Vic","Hazardous","Other hazardous organic wastes","Type","C&I","Landfill","Disposal",1,"03 C&I core"
"2018-2019","Vic","Hazardous","Other hazardous organic wastes","Type","C&I","Recycling","Recycling",1399,"03 C&I core"
"2018-2019","Vic","Hazardous","Other hazardous organic wastes","Type","C&I","Treatment","Unknown",456,"03 C&I core"
"2018-2019","Vic","Hazardous","Other hazardous organic wastes","Type","Total","Landfill","Disposal",1,"08 Total"
"2018-2019","Vic","Hazardous","Other hazardous organic wastes","Type","Total","Recycling","Recycling",1399,"08 Total"
"2018-2019","Vic","Hazardous","Other hazardous organic wastes","Type","Total","Treatment","Unknown",456,"08 Total"
"2018-2019","Vic","Hazardous","Other miscellaneous","Type","C&I","Landfill","Disposal",7,"03 C&I core"
"2018-2019","Vic","Hazardous","Other miscellaneous","Type","C&I","Other disposal","Disposal",56,"03 C&I core"
"2018-2019","Vic","Hazardous","Other miscellaneous","Type","C&I","Recycling","Recycling",493,"03 C&I core"
"2018-2019","Vic","Hazardous","Other miscellaneous","Type","C&I","Treatment","Unknown",593,"03 C&I core"
"2018-2019","Vic","Hazardous","Other miscellaneous","Type","Total","Landfill","Disposal",7,"08 Total"
"2018-2019","Vic","Hazardous","Other miscellaneous","Type","Total","Other disposal","Disposal",56,"08 Total"
"2018-2019","Vic","Hazardous","Other miscellaneous","Type","Total","Recycling","Recycling",493,"08 Total"
"2018-2019","Vic","Hazardous","Other miscellaneous","Type","Total","Treatment","Unknown",593,"08 Total"
"2018-2019","Vic","Hazardous","Other soil/sludges","Type","C&I","Landfill","Disposal",29322,"03 C&I core"
"2018-2019","Vic","Hazardous","Other soil/sludges","Type","C&I","Other disposal","Disposal",259,"03 C&I core"
"2018-2019","Vic","Hazardous","Other soil/sludges","Type","C&I","Recycling","Recycling",2409,"03 C&I core"
"2018-2019","Vic","Hazardous","Other soil/sludges","Type","C&I","Treatment","Unknown",15726,"03 C&I core"
"2018-2019","Vic","Hazardous","Other soil/sludges","Type","Total","Landfill","Disposal",29322,"08 Total"
"2018-2019","Vic","Hazardous","Other soil/sludges","Type","Total","Other disposal","Disposal",259,"08 Total"
"2018-2019","Vic","Hazardous","Other soil/sludges","Type","Total","Recycling","Recycling",2409,"08 Total"
"2018-2019","Vic","Hazardous","Other soil/sludges","Type","Total","Treatment","Unknown",15726,"08 Total"
"2018-2019","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Other disposal","Disposal",62,"03 C&I core"
