,Year,Jurisdiction,Category,Type,Stream,Management,Fate,Tonnes
80,2018,ACT,Hazardous,Tyres,Total,Other disposal,Disposal,140
81,2018,ACT,Hazardous,Tyres,Total,Recycling,Recycling,1680
82,2018,ACT,Masonry materials,Asphalt,Total,Recycling,Recycling,12009
83,2018,ACT,Masonry materials,Bricks,Total,Recycling,Recycling,25098
84,2018,ACT,Masonry materials,Concrete,C&D,Landfill,Disposal,422
85,2018,ACT,Masonry materials,Concrete,C&I,Landfill,Disposal,755
86,2018,ACT,Masonry materials,Concrete,Total,Landfill,Disposal,1177
87,2018,ACT,Masonry materials,Concrete,Total,Recycling,Recycling,115469
88,2018,ACT,Masonry materials,Plasterboard & cement sheeting,C&D,Landfill,Disposal,7323
89,2018,ACT,Masonry materials,Plasterboard & cement sheeting,C&I,Landfill,Disposal,9861
90,2018,ACT,Masonry materials,Plasterboard & cement sheeting,Total,Landfill,Disposal,17185
91,2018,ACT,Metals,Aluminium,MSW,Landfill,Disposal,734
92,2018,ACT,Metals,Aluminium,Total,Landfill,Disposal,734
93,2018,ACT,Metals,Aluminium,Total,Recycling,Recycling,1187
94,2018,ACT,Metals,Steel,Total,Recycling,Recycling,30834
95,2018,ACT,Organics,Food organics,C&I,Landfill,Disposal,9335
96,2018,ACT,Organics,Food organics,C&I,Landfill,Energy recovery,7100
97,2018,ACT,Organics,Food organics,MSW,Landfill,Disposal,20402
98,2018,ACT,Organics,Food organics,MSW,Landfill,Energy recovery,15518
99,2018,ACT,Organics,Food organics,Total,Landfill,Disposal,29737
100,2018,ACT,Organics,Food organics,Total,Landfill,Energy recovery,22618
101,2018,ACT,Organics,Garden organics,C&D,Landfill,Disposal,124
102,2018,ACT,Organics,Garden organics,C&D,Landfill,Energy recovery,40
103,2018,ACT,Organics,Garden organics,C&I,Landfill,Disposal,1780
104,2018,ACT,Organics,Garden organics,C&I,Landfill,Energy recovery,568
105,2018,ACT,Organics,Garden organics,MSW,Landfill,Disposal,7740
106,2018,ACT,Organics,Garden organics,MSW,Landfill,Energy recovery,2467
107,2018,ACT,Organics,Garden organics,Total,Landfill,Disposal,9645
108,2018,ACT,Organics,Garden organics,Total,Landfill,Energy recovery,3075
109,2018,ACT,Organics,Garden organics,Total,Recycling,Recycling,299548
110,2018,ACT,Organics,Other organics,C&I,Landfill,Disposal,472
111,2018,ACT,Organics,Other organics,C&I,Landfill,Energy recovery,163
112,2018,ACT,Organics,Other organics,MSW,Landfill,Disposal,5246
113,2018,ACT,Organics,Other organics,MSW,Landfill,Energy recovery,1816
114,2018,ACT,Organics,Other organics,Total,Landfill,Disposal,5718
115,2018,ACT,Organics,Other organics,Total,Landfill,Energy recovery,1979
116,2018,ACT,Organics,Timber,C&D,Landfill,Disposal,10795
117,2018,ACT,Organics,Timber,C&D,Landfill,Energy recovery,585
118,2018,ACT,Organics,Timber,C&I,Landfill,Disposal,13695
119,2018,ACT,Organics,Timber,C&I,Landfill,Energy recovery,743
120,2018,ACT,Organics,Timber,MSW,Landfill,Disposal,4286
121,2018,ACT,Organics,Timber,MSW,Landfill,Energy recovery,232
122,2018,ACT,Organics,Timber,Total,Landfill,Disposal,28776
123,2018,ACT,Organics,Timber,Total,Landfill,Energy recovery,1560
124,2018,ACT,Organics,Timber,Total,Recycling,Recycling,11533
125,2018,ACT,Other,Other unclassified materials,Total,Recycling,Recycling,259806
126,2018,ACT,Paper & cardboard,Liquid paperboard,Total,Recycling,Recycling,27969
127,2018,Australia,Agriculture & fisheries,Bagasse (available),C&I,Unknown,Unknown,10722735
128,2018,Australia,Agriculture & fisheries,Bagasse (available),Total,Unknown,Unknown,10722735
129,2018,Australia,Agriculture & fisheries,Cotton gin trash,C&I,Unknown,Unknown,52675
130,2018,Australia,Agriculture & fisheries,Cotton gin trash,Total,Unknown,Unknown,52675
131,2018,Australia,Agriculture & fisheries,Fisheries organics,C&I,Unknown,Unknown,124820
132,2018,Australia,Agriculture & fisheries,Fisheries organics,Total,Unknown,Unknown,124820
133,2018,Australia,Agriculture & fisheries,Manure,C&I,Unknown,Unknown,15066609
134,2018,Australia,Agriculture & fisheries,Manure,Total,Unknown,Unknown,15066609
135,2018,Australia,Agriculture & fisheries,Mill mud,C&I,Unknown,Unknown,2020000
136,2018,Australia,Agriculture & fisheries,Mill mud,Total,Unknown,Unknown,2020000
137,2018,Australia,Mineral processing,CSG brines,C&I,Other disposal,Disposal,2385750
138,2018,Australia,Mineral processing,CSG brines,Total,Other disposal,Disposal,2385750
139,2018,Australia,Mineral processing,Red mud,C&I,Other disposal,Long-term storage,25764086
140,2018,Australia,Mineral processing,Red mud,Total,Other disposal,Long-term storage,25764086
141,2018,Australia,Mining,Coal Mining,C&I,Landfill,Disposal,2878
142,2018,Australia,Mining,Coal Mining,C&I,Other disposal,Disposal,32250076
143,2018,Australia,Mining,Coal Mining,C&I,Recycling,Recycling,61
144,2018,Australia,Mining,Coal Mining,C&I,Unknown,Unknown,392
145,2018,Australia,Mining,Copper Ore Mining,C&I,Landfill,Disposal,18
146,2018,Australia,Mining,Copper Ore Mining,C&I,Other disposal,Disposal,49116927
147,2018,Australia,Mining,Gold Ore Mining,C&I,Landfill,Disposal,125
148,2018,Australia,Mining,Gold Ore Mining,C&I,Other disposal,Disposal,188738348
149,2018,Australia,Mining,Gold Ore Mining,C&I,Recycling,Recycling,1
150,2018,Australia,Mining,Iron Ore Mining,C&I,Landfill,Disposal,344
151,2018,Australia,Mining,Iron Ore Mining,C&I,Other disposal,Disposal,89542381
152,2018,Australia,Mining,Iron Ore Mining,C&I,Unknown,Unknown,1
153,2018,Australia,Mining,Mineral Sand Mining,C&I,Landfill,Disposal,518
154,2018,Australia,Mining,Mineral Sand Mining,C&I,Other disposal,Disposal,49499
155,2018,Australia,Mining,Mineral Sand Mining,C&I,Unknown,Unknown,10942
156,2018,Australia,Mining,Nickel Ore Mining,C&I,Landfill,Disposal,8
157,2018,Australia,Mining,Nickel Ore Mining,C&I,Other disposal,Disposal,9638672
158,2018,Australia,Mining,Nickel Ore Mining,C&I,Unknown,Unknown,903
159,2018,Australia,Mining,Oil and Gas Extraction,C&I,Other disposal,Disposal,62075633
160,2018,Australia,Mining,Oil and Gas Extraction,C&I,Recycling,Recycling,3579
161,2018,Australia,Mining,Oil and Gas Extraction,C&I,Unknown,Unknown,418
162,2018,Australia,Mining,Other Metal Ore Mining,C&I,Landfill,Disposal,10
163,2018,Australia,Mining,Other Metal Ore Mining,C&I,Other disposal,Disposal,19501416
164,2018,Australia,Mining,Other Metal Ore Mining,C&I,Unknown,Unknown,2
165,2018,Australia,Mining,Other Non-Metallic Mineral Mining and Quarrying,C&I,Landfill,Disposal,18
166,2018,Australia,Mining,Other Non-Metallic Mineral Mining and Quarrying,C&I,Other disposal,Disposal,4423182
167,2018,Australia,Mining,Silver-Lead-Zinc Ore Mining,C&I,Landfill,Disposal,9
168,2018,Australia,Mining,Silver-Lead-Zinc Ore Mining,C&I,Other disposal,Disposal,46816538
169,2018,Australia,Mining,Silver-Lead-Zinc Ore Mining,C&I,Unknown,Unknown,6
170,2018,NSW,Ash,Ash,C&I,Other disposal,Long-term storage,1617390
171,2018,NSW,Ash,Ash,C&I,Recycling,Recycling,4251341
172,2018,NSW,Ash,Ash,Total,Other disposal,Long-term storage,1617390
